participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.trial_to_pay,player.amount_earned_on_priors_social,player.test_question_1,player.test_question_2,player.test_question_3,player.test_question_4,player.payoff,group.id_in_subsession,group.option1,group.option2,group.amount_offered,group.option_chosen,group.current_opponent,group.payout,group.soc_or_no,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,12,20,12,Option 1,square,8,Social,1,18,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,3,5,5,Option 2,triangle,15,Social,1,19,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,12,6,12,Option 1,square,8,Social,1,20,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,3,5,5,Option 2,square,15,Social,1,21,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,10,18,10,Option 1,square,10,Social,1,22,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,8,16,8,Option 1,circle,12,Social,1,23,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,12,16,12,Option 1,circle,8,Social,1,24,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,14,16,14,Option 1,triangle,6,Social,1,25,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,8,14,8,Option 1,square,12,Social,1,26,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,8,20,8,Option 1,triangle,0,Social,0,27,rgoo4dc6,,,,,,0
