offer	option1	option2	sub_name	trial
8	14	8	Sub_0npz4015	76
5	5	19	Sub_0npz4015	77
16	16	0	Sub_0npz4015	78
5	3	5	Sub_0npz4015	79
5	1	5	Sub_0npz4015	80
6	6	20	Sub_0npz4015	81
16	20	16	Sub_0npz4015	82
12	2	12	Sub_0npz4015	83
14	14	20	Sub_0npz4015	84
6	0	6	Sub_0npz4015	85
9	7	9	Sub_0npz4015	86
18	14	18	Sub_0npz4015	87
15	15	19	Sub_0npz4015	88
14	0	14	Sub_0npz4015	89
16	12	16	Sub_0npz4015	90
13	9	13	Sub_0npz4015	91
13	9	13	Sub_0npz4015	92
10	4	10	Sub_0npz4015	93
10	20	10	Sub_0npz4015	94
13	11	13	Sub_0npz4015	95
12	10	12	Sub_0npz4015	96
13	13	5	Sub_0v1d7ya3	1
14	6	14	Sub_0v1d7ya3	2
20	4	20	Sub_0v1d7ya3	3
17	1	17	Sub_0v1d7ya3	4
8	8	4	Sub_0v1d7ya3	5
10	10	14	Sub_0v1d7ya3	6
6	6	16	Sub_0v1d7ya3	7
12	0	12	Sub_0v1d7ya3	8
2	0	2	Sub_0v1d7ya3	9
16	0	16	Sub_0v1d7ya3	10
6	6	20	Sub_0v1d7ya3	11
10	16	10	Sub_0v1d7ya3	12
13	1	13	Sub_0v1d7ya3	13
12	2	12	Sub_0v1d7ya3	14
6	4	6	Sub_0v1d7ya3	15
11	13	11	Sub_0v1d7ya3	16
12	4	12	Sub_0v1d7ya3	17
14	14	16	Sub_0v1d7ya3	18
6	6	16	Sub_0v1d7ya3	19
8	6	8	Sub_0v1d7ya3	20
16	20	16	Sub_0v1d7ya3	21
8	8	20	Sub_0v1d7ya3	22
9	3	9	Sub_0v1d7ya3	23
8	6	8	Sub_0v1d7ya3	24
8	8	16	Sub_0v1d7ya3	25
17	17	19	Sub_0v1d7ya3	26
13	13	7	Sub_0v1d7ya3	27
13	13	17	Sub_0v1d7ya3	28
20	20	4	Sub_0v1d7ya3	29
8	2	8	Sub_0v1d7ya3	30
11	11	3	Sub_0v1d7ya3	31
11	7	11	Sub_0v1d7ya3	32
7	7	17	Sub_0v1d7ya3	33
7	7	17	Sub_0v1d7ya3	34
18	0	18	Sub_0v1d7ya3	35
3	1	3	Sub_0v1d7ya3	36
15	1	15	Sub_0v1d7ya3	37
4	4	20	Sub_0v1d7ya3	38
12	6	12	Sub_0v1d7ya3	39
9	5	9	Sub_0v1d7ya3	40
14	0	14	Sub_0v1d7ya3	41
18	18	0	Sub_0v1d7ya3	42
12	20	12	Sub_0v1d7ya3	43
15	15	19	Sub_0v1d7ya3	44
8	0	8	Sub_0v1d7ya3	45
11	13	11	Sub_0v1d7ya3	46
14	4	14	Sub_0v1d7ya3	47
4	4	2	Sub_0v1d7ya3	48
12	12	18	Sub_0v1d7ya3	49
10	20	10	Sub_0v1d7ya3	50
6	0	6	Sub_0v1d7ya3	51
5	3	5	Sub_0v1d7ya3	52
13	13	19	Sub_0v1d7ya3	53
11	11	15	Sub_0v1d7ya3	54
11	11	9	Sub_0v1d7ya3	55
6	2	6	Sub_0v1d7ya3	56
10	0	10	Sub_0v1d7ya3	57
9	9	19	Sub_0v1d7ya3	58
10	2	10	Sub_0v1d7ya3	59
18	18	20	Sub_0v1d7ya3	60
18	4	18	Sub_0v1d7ya3	61
14	14	16	Sub_0v1d7ya3	62
8	6	8	Sub_0v1d7ya3	63
12	12	14	Sub_0v1d7ya3	64
13	1	13	Sub_0v1d7ya3	65
17	17	19	Sub_0v1d7ya3	66
16	16	18	Sub_0v1d7ya3	67
11	11	13	Sub_0v1d7ya3	68
13	13	3	Sub_0v1d7ya3	69
4	4	2	Sub_0v1d7ya3	70
7	5	7	Sub_0v1d7ya3	71
8	8	20	Sub_0v1d7ya3	72
11	9	11	Sub_0v1d7ya3	73
11	5	11	Sub_0v1d7ya3	74
10	10	16	Sub_0v1d7ya3	75
5	19	5	Sub_0v1d7ya3	76
8	8	14	Sub_0v1d7ya3	77
11	1	11	Sub_0v1d7ya3	78
11	11	19	Sub_0v1d7ya3	79
15	15	3	Sub_0v1d7ya3	80
8	8	0	Sub_0v1d7ya3	81
6	6	0	Sub_0v1d7ya3	82
17	5	17	Sub_0v1d7ya3	83
9	15	9	Sub_0v1d7ya3	84
10	0	10	Sub_0v1d7ya3	85
9	7	9	Sub_0v1d7ya3	86
15	5	15	Sub_0v1d7ya3	87
15	1	15	Sub_0v1d7ya3	88
11	11	17	Sub_0v1d7ya3	89
7	19	7	Sub_0v1d7ya3	90
13	5	13	Sub_0v1d7ya3	91
6	20	6	Sub_0v1d7ya3	92
12	12	14	Sub_0v1d7ya3	93
6	4	6	Sub_0v1d7ya3	94
12	20	12	Sub_0v1d7ya3	95
9	1	9	Sub_0v1d7ya3	96
10	10	18	Sub_16i16pmh	1
0	14	0	Sub_16i16pmh	2
6	6	8	Sub_16i16pmh	3
0	0	10	Sub_16i16pmh	4
2	14	2	Sub_16i16pmh	5
13	13	15	Sub_16i16pmh	6
2	2	20	Sub_16i16pmh	7
10	18	10	Sub_16i16pmh	8
10	14	10	Sub_16i16pmh	9
0	0	4	Sub_16i16pmh	10
19	13	19	Sub_16i16pmh	11
2	2	14	Sub_16i16pmh	12
13	13	19	Sub_16i16pmh	13
5	5	7	Sub_16i16pmh	14
13	13	15	Sub_16i16pmh	15
18	18	20	Sub_16i16pmh	16
0	0	12	Sub_16i16pmh	17
14	14	18	Sub_16i16pmh	18
1	7	1	Sub_16i16pmh	19
10	10	14	Sub_16i16pmh	20
2	6	2	Sub_16i16pmh	21
0	0	6	Sub_16i16pmh	22
0	0	2	Sub_16i16pmh	23
2	2	4	Sub_16i16pmh	24
13	15	13	Sub_16i16pmh	25
8	8	18	Sub_16i16pmh	26
13	17	13	Sub_16i16pmh	27
7	7	19	Sub_16i16pmh	28
17	19	17	Sub_16i16pmh	29
0	0	12	Sub_16i16pmh	30
7	19	7	Sub_16i16pmh	31
3	3	5	Sub_16i16pmh	32
8	10	8	Sub_16i16pmh	33
17	17	19	Sub_16i16pmh	34
4	6	4	Sub_16i16pmh	35
3	9	3	Sub_16i16pmh	36
3	3	17	Sub_16i16pmh	37
11	11	17	Sub_16i16pmh	38
17	17	19	Sub_16i16pmh	39
0	4	0	Sub_16i16pmh	40
10	20	10	Sub_16i16pmh	41
6	6	12	Sub_16i16pmh	42
8	18	8	Sub_16i16pmh	43
4	4	6	Sub_16i16pmh	44
6	18	6	Sub_16i16pmh	45
0	0	18	Sub_16i16pmh	46
3	13	3	Sub_16i16pmh	47
13	13	17	Sub_16i16pmh	48
3	3	9	Sub_16i16pmh	49
6	6	14	Sub_16i16pmh	50
6	6	16	Sub_16i16pmh	51
4	4	16	Sub_16i16pmh	52
7	7	13	Sub_16i16pmh	53
12	12	14	Sub_16i16pmh	54
4	10	4	Sub_16i16pmh	55
3	3	5	Sub_16i16pmh	56
16	16	20	Sub_16i16pmh	57
10	10	12	Sub_16i16pmh	58
11	11	17	Sub_16i16pmh	59
5	5	9	Sub_16i16pmh	60
4	4	18	Sub_16i16pmh	61
0	0	16	Sub_16i16pmh	62
7	7	9	Sub_16i16pmh	63
10	10	16	Sub_16i16pmh	64
3	3	15	Sub_16i16pmh	65
4	20	4	Sub_16i16pmh	66
8	8	14	Sub_16i16pmh	67
11	13	11	Sub_16i16pmh	68
0	10	0	Sub_16i16pmh	69
4	4	14	Sub_16i16pmh	70
11	11	13	Sub_16i16pmh	71
1	1	11	Sub_16i16pmh	72
5	15	5	Sub_16i16pmh	73
1	9	1	Sub_16i16pmh	74
3	3	11	Sub_16i16pmh	75
2	2	8	Sub_16i16pmh	76
2	18	2	Sub_16i16pmh	77
3	3	15	Sub_16i16pmh	78
10	10	12	Sub_16i16pmh	79
11	15	11	Sub_16i16pmh	80
16	16	20	Sub_16i16pmh	81
8	8	20	Sub_16i16pmh	82
11	11	19	Sub_16i16pmh	83
2	14	2	Sub_16i16pmh	84
7	7	11	Sub_16i16pmh	85
11	11	19	Sub_16i16pmh	86
4	10	4	Sub_16i16pmh	87
2	2	6	Sub_16i16pmh	88
5	5	9	Sub_16i16pmh	89
15	19	15	Sub_16i16pmh	90
1	1	13	Sub_16i16pmh	91
1	1	13	Sub_16i16pmh	92
5	5	7	Sub_16i16pmh	93
5	5	17	Sub_16i16pmh	94
1	7	1	Sub_16i16pmh	95
6	6	14	Sub_16i16pmh	96
3	3	15	Sub_1jig01dr	1
8	8	0	Sub_1jig01dr	2
6	6	4	Sub_1jig01dr	3
17	17	19	Sub_1jig01dr	4
5	17	5	Sub_1jig01dr	5
3	3	1	Sub_1jig01dr	6
15	15	19	Sub_1jig01dr	7
0	0	18	Sub_1jig01dr	8
10	2	10	Sub_1jig01dr	9
16	16	18	Sub_1jig01dr	10
6	6	4	Sub_1jig01dr	11
13	3	13	Sub_1jig01dr	12
7	3	7	Sub_1jig01dr	13
6	14	6	Sub_1jig01dr	14
15	17	15	Sub_1jig01dr	15
5	5	19	Sub_1jig01dr	16
10	10	14	Sub_1jig01dr	17
16	0	16	Sub_1jig01dr	18
6	6	18	Sub_1jig01dr	19
15	15	19	Sub_1jig01dr	20
3	3	19	Sub_1jig01dr	21
8	8	18	Sub_1jig01dr	22
10	10	16	Sub_1jig01dr	23
16	2	16	Sub_1jig01dr	24
9	3	9	Sub_1jig01dr	25
13	19	13	Sub_1jig01dr	26
12	18	12	Sub_1jig01dr	27
3	1	3	Sub_1jig01dr	28
12	18	12	Sub_1jig01dr	29
13	13	17	Sub_1jig01dr	30
2	2	20	Sub_1jig01dr	31
10	4	10	Sub_1jig01dr	32
9	9	17	Sub_1jig01dr	33
14	16	14	Sub_1jig01dr	34
6	2	6	Sub_1jig01dr	35
13	13	17	Sub_1jig01dr	36
10	8	10	Sub_1jig01dr	37
14	14	2	Sub_1jig01dr	38
7	19	7	Sub_1jig01dr	39
6	14	6	Sub_1jig01dr	40
8	6	8	Sub_1jig01dr	41
10	14	10	Sub_1jig01dr	42
5	5	3	Sub_1jig01dr	43
4	2	4	Sub_1jig01dr	44
9	1	9	Sub_1jig01dr	45
