offer	option1	option2	sub_name	trial
11	11	19	Sub_0v1d7ya3	42
9	13	9	Sub_0v1d7ya3	43
9	1	9	Sub_0v1d7ya3	44
6	6	18	Sub_0v1d7ya3	45
10	10	20	Sub_0v1d7ya3	46
11	15	11	Sub_0v1d7ya3	47
11	11	5	Sub_0v1d7ya3	48
6	6	4	Sub_0v1d7ya3	49
9	17	9	Sub_0v1d7ya3	50
17	17	3	Sub_0v1d7ya3	51
6	6	4	Sub_0v1d7ya3	52
13	13	19	Sub_0v1d7ya3	53
6	2	6	Sub_0v1d7ya3	54
13	13	1	Sub_0v1d7ya3	55
7	7	15	Sub_0v1d7ya3	56
6	16	6	Sub_0v1d7ya3	57
16	4	16	Sub_0v1d7ya3	58
7	3	7	Sub_0v1d7ya3	59
19	5	19	Sub_0v1d7ya3	60
12	12	14	Sub_0v1d7ya3	61
11	11	17	Sub_0v1d7ya3	62
7	7	1	Sub_0v1d7ya3	63
11	11	1	Sub_0v1d7ya3	64
20	0	20	Sub_0v1d7ya3	65
6	6	14	Sub_0v1d7ya3	66
13	5	13	Sub_0v1d7ya3	67
12	12	18	Sub_0v1d7ya3	68
9	7	9	Sub_0v1d7ya3	69
6	4	6	Sub_0v1d7ya3	70
11	11	7	Sub_0v1d7ya3	71
11	11	17	Sub_0v1d7ya3	72
6	18	6	Sub_0v1d7ya3	73
11	11	1	Sub_0v1d7ya3	74
9	19	9	Sub_0v1d7ya3	75
19	1	19	Sub_0v1d7ya3	76
16	16	18	Sub_0v1d7ya3	77
9	9	7	Sub_0v1d7ya3	78
14	14	18	Sub_0v1d7ya3	79
10	10	20	Sub_0v1d7ya3	80
6	0	6	Sub_0v1d7ya3	81
10	8	10	Sub_0v1d7ya3	82
13	3	13	Sub_0v1d7ya3	83
13	13	7	Sub_0v1d7ya3	84
19	19	1	Sub_0v1d7ya3	85
12	0	12	Sub_0v1d7ya3	86
11	3	11	Sub_0v1d7ya3	87
8	8	18	Sub_0v1d7ya3	88
17	17	19	Sub_0v1d7ya3	89
8	14	8	Sub_0v1d7ya3	90
14	20	14	Sub_0v1d7ya3	91
12	4	12	Sub_0v1d7ya3	92
8	0	8	Sub_0v1d7ya3	93
9	1	9	Sub_0v1d7ya3	94
18	18	2	Sub_0v1d7ya3	95
12	20	12	Sub_0v1d7ya3	96
7	1	7	Sub_16i16pmh	1
13	13	19	Sub_16i16pmh	2
10	10	6	Sub_16i16pmh	3
4	12	4	Sub_16i16pmh	4
15	15	17	Sub_16i16pmh	5
11	17	11	Sub_16i16pmh	6
11	13	11	Sub_16i16pmh	7
8	8	2	Sub_16i16pmh	8
16	20	16	Sub_16i16pmh	9
7	7	5	Sub_16i16pmh	10
7	5	7	Sub_16i16pmh	11
7	5	7	Sub_16i16pmh	12
9	9	3	Sub_16i16pmh	13
5	5	19	Sub_16i16pmh	14
2	16	2	Sub_16i16pmh	15
11	13	11	Sub_16i16pmh	16
4	2	4	Sub_16i16pmh	17
9	9	3	Sub_16i16pmh	18
13	13	19	Sub_16i16pmh	19
14	14	18	Sub_16i16pmh	20
4	4	20	Sub_16i16pmh	21
6	6	18	Sub_16i16pmh	22
2	10	2	Sub_16i16pmh	23
9	9	17	Sub_16i16pmh	24
4	4	16	Sub_16i16pmh	25
5	5	15	Sub_16i16pmh	26
10	10	18	Sub_16i16pmh	27
10	0	10	Sub_16i16pmh	28
9	9	13	Sub_16i16pmh	29
15	15	1	Sub_16i16pmh	30
9	11	9	Sub_16i16pmh	31
4	4	14	Sub_16i16pmh	32
6	6	20	Sub_16i16pmh	33
10	8	10	Sub_16i16pmh	34
8	8	16	Sub_16i16pmh	35
8	8	16	Sub_16i16pmh	36
8	4	8	Sub_16i16pmh	37
0	0	20	Sub_16i16pmh	38
11	11	19	Sub_16i16pmh	39
3	3	17	Sub_16i16pmh	40
6	6	0	Sub_16i16pmh	41
4	2	4	Sub_16i16pmh	42
7	7	11	Sub_16i16pmh	43
15	15	19	Sub_16i16pmh	44
8	8	20	Sub_16i16pmh	45
0	0	16	Sub_16i16pmh	46
5	5	17	Sub_16i16pmh	47
0	0	14	Sub_16i16pmh	48
10	12	10	Sub_16i16pmh	49
12	12	18	Sub_16i16pmh	50
7	3	7	Sub_16i16pmh	51
12	12	20	Sub_16i16pmh	52
7	7	13	Sub_16i16pmh	53
8	8	18	Sub_16i16pmh	54
11	11	19	Sub_16i16pmh	55
6	6	18	Sub_16i16pmh	56
11	11	3	Sub_16i16pmh	57
3	3	15	Sub_16i16pmh	58
6	4	6	Sub_16i16pmh	59
2	2	12	Sub_16i16pmh	60
11	1	11	Sub_16i16pmh	61
6	6	14	Sub_16i16pmh	62
4	20	4	Sub_16i16pmh	63
2	2	16	Sub_16i16pmh	64
12	12	18	Sub_16i16pmh	65
13	13	15	Sub_16i16pmh	66
8	10	8	Sub_16i16pmh	67
15	15	19	Sub_16i16pmh	68
12	14	12	Sub_16i16pmh	69
6	6	16	Sub_16i16pmh	70
0	0	14	Sub_16i16pmh	71
12	12	2	Sub_16i16pmh	72
12	12	16	Sub_16i16pmh	73
4	2	4	Sub_16i16pmh	74
11	11	15	Sub_16i16pmh	75
6	6	12	Sub_16i16pmh	76
1	1	19	Sub_16i16pmh	77
4	0	4	Sub_16i16pmh	78
8	0	8	Sub_16i16pmh	79
14	20	14	Sub_16i16pmh	80
16	18	16	Sub_16i16pmh	81
3	3	13	Sub_16i16pmh	82
6	6	0	Sub_16i16pmh	83
8	4	8	Sub_16i16pmh	84
3	3	19	Sub_16i16pmh	85
5	1	5	Sub_16i16pmh	86
10	10	16	Sub_16i16pmh	87
10	20	10	Sub_16i16pmh	88
4	12	4	Sub_16i16pmh	89
2	2	20	Sub_16i16pmh	90
2	2	12	Sub_16i16pmh	91
10	10	20	Sub_16i16pmh	92
5	5	13	Sub_16i16pmh	93
6	6	2	Sub_16i16pmh	94
6	6	12	Sub_16i16pmh	95
9	9	11	Sub_16i16pmh	96
8	2	8	Sub_1jig01dr	1
16	16	8	Sub_1jig01dr	2
9	3	9	Sub_1jig01dr	3
9	1	9	Sub_1jig01dr	4
17	17	19	Sub_1jig01dr	5
7	7	3	Sub_1jig01dr	6
13	13	7	Sub_1jig01dr	7
11	5	11	Sub_1jig01dr	8
4	4	20	Sub_1jig01dr	9
13	13	15	Sub_1jig01dr	10
14	2	14	Sub_1jig01dr	11
15	15	19	Sub_1jig01dr	12
14	18	14	Sub_1jig01dr	13
0	0	18	Sub_1jig01dr	14
10	16	10	Sub_1jig01dr	15
8	8	12	Sub_1jig01dr	16
5	17	5	Sub_1jig01dr	17
12	4	12	Sub_1jig01dr	18
13	13	3	Sub_1jig01dr	19
9	1	9	Sub_1jig01dr	20
14	14	18	Sub_1jig01dr	21
9	17	9	Sub_1jig01dr	22
18	18	20	Sub_1jig01dr	23
10	10	14	Sub_1jig01dr	24
11	1	11	Sub_1jig01dr	25
14	0	14	Sub_1jig01dr	26
11	13	11	Sub_1jig01dr	27
6	4	6	Sub_1jig01dr	28
5	5	3	Sub_1jig01dr	29
15	7	15	Sub_1jig01dr	30
17	17	19	Sub_1jig01dr	31
11	1	11	Sub_1jig01dr	32
8	8	20	Sub_1jig01dr	33
11	9	11	Sub_1jig01dr	34
15	15	7	Sub_1jig01dr	35
9	7	9	Sub_1jig01dr	36
12	12	20	Sub_1jig01dr	37
5	1	5	Sub_1jig01dr	38
4	4	18	Sub_1jig01dr	39
9	15	9	Sub_1jig01dr	40
12	12	14	Sub_1jig01dr	41
12	2	12	Sub_1jig01dr	42
10	4	10	Sub_1jig01dr	43
10	2	10	Sub_1jig01dr	44
17	17	1	Sub_1jig01dr	45
3	3	19	Sub_1jig01dr	46
1	1	19	Sub_1jig01dr	47
7	1	7	Sub_1jig01dr	48
13	5	13	Sub_1jig01dr	49
11	11	19	Sub_1jig01dr	50
10	6	10	Sub_1jig01dr	51
10	10	6	Sub_1jig01dr	52
12	12	14	Sub_1jig01dr	53
16	18	16	Sub_1jig01dr	54
13	13	17	Sub_1jig01dr	55
18	2	18	Sub_1jig01dr	56
11	11	13	Sub_1jig01dr	57
15	1	15	Sub_1jig01dr	58
12	12	16	Sub_1jig01dr	59
8	4	8	Sub_1jig01dr	60
15	3	15	Sub_1jig01dr	61
0	0	14	Sub_1jig01dr	62
7	7	11	Sub_1jig01dr	63
12	12	14	Sub_1jig01dr	64
8	6	8	Sub_1jig01dr	65
7	7	17	Sub_1jig01dr	66
9	9	19	Sub_1jig01dr	67
7	7	5	Sub_1jig01dr	68
12	4	12	Sub_1jig01dr	69
9	19	9	Sub_1jig01dr	70
16	16	18	Sub_1jig01dr	71
5	5	19	Sub_1jig01dr	72
11	11	7	Sub_1jig01dr	73
10	10	20	Sub_1jig01dr	74
8	8	14	Sub_1jig01dr	75
8	4	8	Sub_1jig01dr	76
8	8	18	Sub_1jig01dr	77
10	8	10	Sub_1jig01dr	78
0	0	18	Sub_1jig01dr	79
0	6	0	Sub_1jig01dr	80
6	6	16	Sub_1jig01dr	81
12	2	12	Sub_1jig01dr	82
10	10	16	Sub_1jig01dr	83
9	9	17	Sub_1jig01dr	84
11	3	11	Sub_1jig01dr	85
6	6	2	Sub_1jig01dr	86
9	15	9	Sub_1jig01dr	87
3	1	3	Sub_1jig01dr	88
4	12	4	Sub_1jig01dr	89
11	15	11	Sub_1jig01dr	90
5	5	1	Sub_1jig01dr	91
8	2	8	Sub_1jig01dr	92
6	6	12	Sub_1jig01dr	93
14	14	16	Sub_1jig01dr	94
9	9	13	Sub_1jig01dr	95
13	19	13	Sub_1jig01dr	96
14	14	16	Sub_1ma83ra9	1
11	11	5	Sub_1ma83ra9	2
11	3	11	Sub_1ma83ra9	3
14	14	18	Sub_1ma83ra9	4
9	9	11	Sub_1ma83ra9	5
3	17	3	Sub_1ma83ra9	6
8	0	8	Sub_1ma83ra9	7
3	3	13	Sub_1ma83ra9	8
2	2	14	Sub_1ma83ra9	9
14	16	14	Sub_1ma83ra9	10
7	1	7	Sub_1ma83ra9	11
5	15	5	Sub_1ma83ra9	12
9	3	9	Sub_1ma83ra9	13
16	2	16	Sub_1ma83ra9	14
9	9	15	Sub_1ma83ra9	15
6	2	6	Sub_1ma83ra9	16
3	3	15	Sub_1ma83ra9	17
7	7	3	Sub_1ma83ra9	18
13	15	13	Sub_1ma83ra9	19
7	7	13	Sub_1ma83ra9	20
9	9	19	Sub_1ma83ra9	21
10	10	18	Sub_1ma83ra9	22
10	2	10	Sub_1ma83ra9	23
11	11	13	Sub_1ma83ra9	24
5	5	19	Sub_1ma83ra9	25
14	16	14	Sub_1ma83ra9	26
14	0	14	Sub_1ma83ra9	27
2	2	18	Sub_1ma83ra9	28
15	15	17	Sub_1ma83ra9	29
10	10	18	Sub_1ma83ra9	30
9	13	9	Sub_1ma83ra9	31
8	8	12	Sub_1ma83ra9	32
6	6	12	Sub_1ma83ra9	33
10	10	20	Sub_1ma83ra9	34
13	13	17	Sub_1ma83ra9	35
8	8	14	Sub_1ma83ra9	36
4	2	4	Sub_1ma83ra9	37
11	11	19	Sub_1ma83ra9	38
11	11	15	Sub_1ma83ra9	39
14	4	14	Sub_1ma83ra9	40
6	20	6	Sub_1ma83ra9	41
6	2	6	Sub_1ma83ra9	42
11	11	7	Sub_1ma83ra9	43
3	19	3	Sub_1ma83ra9	44
11	11	1	Sub_1ma83ra9	45
2	0	2	Sub_1ma83ra9	46
6	6	18	Sub_1ma83ra9	47
11	11	19	Sub_1ma83ra9	48
3	1	3	Sub_1ma83ra9	49
13	13	5	Sub_1ma83ra9	50
8	0	8	Sub_1ma83ra9	51
8	8	20	Sub_1ma83ra9	52
2	2	16	Sub_1ma83ra9	53
8	8	16	Sub_1ma83ra9	54
15	15	19	Sub_1ma83ra9	55
8	8	14	Sub_1ma83ra9	56
8	20	8	Sub_1ma83ra9	57
12	12	14	Sub_1ma83ra9	58
8	8	14	Sub_1ma83ra9	59
14	14	0	Sub_1ma83ra9	60
9	7	9	Sub_1ma83ra9	61
3	3	15	Sub_1ma83ra9	62
8	8	18	Sub_1ma83ra9	63
9	9	11	Sub_1ma83ra9	64
10	4	10	Sub_1ma83ra9	65
7	7	11	Sub_1ma83ra9	66
8	8	6	Sub_1ma83ra9	67
14	14	20	Sub_1ma83ra9	68
16	16	20	Sub_1ma83ra9	69
12	12	18	Sub_1ma83ra9	70
0	0	16	Sub_1ma83ra9	71
0	20	0	Sub_1ma83ra9	72
11	17	11	Sub_1ma83ra9	73
7	3	7	Sub_1ma83ra9	74
5	1	5	Sub_1ma83ra9	75
3	3	13	Sub_1ma83ra9	76
10	18	10	Sub_1ma83ra9	77
11	3	11	Sub_1ma83ra9	78
6	0	6	Sub_1ma83ra9	79
