participant.id_in_session	participant.code	participant.visited	participant.payoff	player.id_in_group	player.payoff	group.id_in_subsession	group.amount_offered	group.current_opponent	group.payout	group.soc_or_no	group.offer_accepted	subsession.round_number	session.code
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	19	iiadfs7g
1	cx9uepx4	1	0	1	0	1	10	triangle	10	Non-social	1	20	iiadfs7g
1	cx9uepx4	1	0	1	0	1	10	triangle	0	Non-social	0	21	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	22	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	23	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	24	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	25	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Non-social	1	26	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Non-social	1	27	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	28	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Non-social	1	29	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	30	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	31	iiadfs7g
1	cx9uepx4	1	0	1	0	1	10	triangle	0	Non-social	0	32	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	33	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	34	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	35	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	36	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	37	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	38	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	39	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Non-social	1	40	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	41	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	42	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Non-social	1	43	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	44	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Non-social	1	45	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Non-social	1	46	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	47	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	48	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Non-social	1	49	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	50	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	51	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	52	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	53	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	54	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	55	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Non-social	1	56	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	57	iiadfs7g
1	cx9uepx4	1	0	1	0	1	10	circle	10	Non-social	1	58	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Non-social	1	59	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Non-social	1	60	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	61	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	62	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	63	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	64	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	65	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	66	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	67	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	68	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	69	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	70	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	71	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	72	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	73	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	74	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	75	iiadfs7g
1	cx9uepx4	1	0	1	0	1	10	circle	10	Social	1	76	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	77	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	78	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	79	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	80	iiadfs7g
1	cx9uepx4	1	0	1	0	1	10	square	10	Social	1	81	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	82	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	83	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	84	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	85	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	86	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	87	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	88	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	89	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	90	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	91	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	92	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	93	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	94	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	95	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	96	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	97	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	98	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	99	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	100	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	101	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	102	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	103	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	104	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	105	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	106	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	107	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	108	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	109	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	110	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	111	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	triangle	9	Social	1	112	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	113	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	114	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	115	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	square	9	Social	1	116	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	117	iiadfs7g
1	cx9uepx4	1	0	1	0	1	10	square	10	Social	1	118	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	119	iiadfs7g
1	cx9uepx4	1	0	1	0	1	11	circle	9	Social	1	120	iiadfs7g
1	f5ut2ntt	1	0	1	0	1	10	triangle	0	Non-social	0	1	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	2	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	3	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	4	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	5	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	6	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	0	Non-social	0	7	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	8	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	9	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	10	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	11	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	12	ohtnbfl2
